PID,CID,BID,Country,Image,English Title,English Body,Target Gender,Age min,Age max,Target city
2,399,43,BR,br_revised_male_17.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,44,BR,br_revised_male_18.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,45,BR,br_revised_male_19.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,46,BR,br_revised_male_20.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,47,BR,br_revised_male_21.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,48,BR,br_revised_male_22.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,49,BR,br_revised_male_23.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,50,BR,br_revised_male_24.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,51,BR,br_revised_male_25.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,399,52,BR,br_revised_male_26.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,26,30,
2,400,27,BR,br_revised_male_01.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,28,BR,br_revised_male_02.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,29,BR,br_revised_male_03.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,30,BR,br_revised_male_04.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,31,BR,br_revised_male_05.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,32,BR,br_revised_male_06.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,33,BR,br_revised_male_07.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,34,BR,br_revised_male_08.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,35,BR,br_revised_male_09.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,36,BR,br_revised_male_10.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,37,BR,br_revised_male_11.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,38,BR,br_revised_male_12.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,39,BR,br_revised_male_13.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,40,BR,br_revised_male_14.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,41,BR,br_revised_male_15.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,42,BR,br_revised_male_16.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,43,BR,br_revised_male_17.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,44,BR,br_revised_male_18.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,45,BR,br_revised_male_19.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,46,BR,br_revised_male_20.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,47,BR,br_revised_male_21.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,48,BR,br_revised_male_22.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,49,BR,br_revised_male_23.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,50,BR,br_revised_male_24.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,51,BR,br_revised_male_25.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,400,52,BR,br_revised_male_26.jpg,A smile says everything,"Join funny, young and modern people at Duego.",F,31,39,
2,401,43,BR,br_revised_female_01.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,44,BR,br_revised_female_02.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,45,BR,br_revised_female_03.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,46,BR,br_revised_female_04.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,47,BR,br_revised_female_05.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,48,BR,br_revised_female_06.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,49,BR,br_revised_female_07.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,50,BR,br_revised_female_08.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,51,BR,br_revised_female_09.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,52,BR,br_revised_female_10.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,53,BR,br_revised_female_11.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,54,BR,br_revised_female_12.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,55,BR,br_revised_female_13.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,56,BR,br_revised_female_14.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,57,BR,br_revised_female_15.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,58,BR,br_revised_female_16.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,59,BR,br_revised_female_17.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,60,BR,br_revised_female_18.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,61,BR,br_revised_female_19.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,62,BR,br_revised_female_20.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,401,63,BR,br_revised_female_21.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,18,25,
2,402,43,BR,br_revised_female_01.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,44,BR,br_revised_female_02.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,45,BR,br_revised_female_03.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,46,BR,br_revised_female_04.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,47,BR,br_revised_female_05.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,48,BR,br_revised_female_06.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,49,BR,br_revised_female_07.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,50,BR,br_revised_female_08.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,51,BR,br_revised_female_09.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,52,BR,br_revised_female_10.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,53,BR,br_revised_female_11.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,54,BR,br_revised_female_12.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,55,BR,br_revised_female_13.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,56,BR,br_revised_female_14.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,57,BR,br_revised_female_15.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,58,BR,br_revised_female_16.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,59,BR,br_revised_female_17.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,60,BR,br_revised_female_18.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,61,BR,br_revised_female_19.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,62,BR,br_revised_female_20.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,402,63,BR,br_revised_female_21.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,26,30,
2,403,43,BR,br_revised_female_01.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,44,BR,br_revised_female_02.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,45,BR,br_revised_female_03.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,46,BR,br_revised_female_04.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,47,BR,br_revised_female_05.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,48,BR,br_revised_female_06.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,49,BR,br_revised_female_07.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,50,BR,br_revised_female_08.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,51,BR,br_revised_female_09.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,52,BR,br_revised_female_10.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,53,BR,br_revised_female_11.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,54,BR,br_revised_female_12.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,55,BR,br_revised_female_13.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,56,BR,br_revised_female_14.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,57,BR,br_revised_female_15.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,58,BR,br_revised_female_16.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,59,BR,br_revised_female_17.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,60,BR,br_revised_female_18.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,61,BR,br_revised_female_19.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,62,BR,br_revised_female_20.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,403,63,BR,br_revised_female_21.jpg,A smile says everything,"Join funny, young and modern people at Duego.",M,31,39,
2,401,106,BR,br_revised_female_01.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,107,BR,br_revised_female_02.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,108,BR,br_revised_female_03.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,109,BR,br_revised_female_04.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,110,BR,br_revised_female_05.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,111,BR,br_revised_female_06.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,112,BR,br_revised_female_07.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,113,BR,br_revised_female_08.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,114,BR,br_revised_female_09.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,115,BR,br_revised_female_10.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,116,BR,br_revised_female_11.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,117,BR,br_revised_female_12.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,118,BR,br_revised_female_13.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,119,BR,br_revised_female_14.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
